date,WT,pH,DO,CODMn,NH3-N,TP,TN,EC,Turbidity
2021/1/1 0:00,10.262857142857131,6.9974285714285696,12.38489510489511,2.0021428571428523,0.14780000000000004,0.1491142857142857,2.2951428571428547,259.7574980575003,29.10233877233884
2021/1/1 4:00,8.148571428571426,7.010285714285715,12.543175990675993,1.9114285714285695,0.15380000000000008,0.14754285714285711,2.2494285714285693,251.04001554001587,29.08128982128953
2021/1/1 8:00,9.677142857142861,7.014571428571431,12.745023310023315,2.482857142857144,0.13680000000000003,0.1466857142857143,2.240857142857144,254.4099456099483,29.26548562548562
2021/1/1 12:00,11.922857142857145,7.022000000000002,12.419038461538461,2.878000000000001,0.11200000000000003,0.14614285714285719,2.2851428571428576,254.48010878011232,29.46902874902849
2021/1/1 16:00,13.485714285714291,7.040857142857146,11.465641025641371,2.863142857142858,0.08988571428571432,0.13460000000000005,2.2980000000000005,249.02486402486585,29.163714063714263
2021/1/1 20:00,11.902857142857147,7.0740000000000025,9.758624708625003,2.576857142857144,0.08500000000000002,0.12134285714285717,2.345428571428572,252.25143745143512,28.879797979797967
2021/1/2 0:00,9.751428571428573,7.079142857142859,9.7272261072264,2.2522857142857156,0.08802857142857146,0.10520000000000003,2.3337142857142865,257.3407148407127,29.198989898989787
2021/1/2 4:00,8.671428571428573,7.063428571428573,10.330955710956022,2.1134285714285723,0.09625714285714287,0.10291428571428575,2.329142857142857,262.5906759906759,29.49611499611491
2021/1/2 8:00,9.751428571428574,7.047428571428573,10.928741258741589,2.688285714285715,0.09540000000000003,0.10997142857142861,2.3097142857142865,265.36379176378915,29.739782439782473
2021/1/2 12:00,12.87714285714286,7.038285714285716,11.00958041958075,3.007142857142858,0.07982857142857144,0.11897142857142859,2.379714285714286,269.80629370629407,29.20147630147663
2021/1/2 16:00,15.425714285714289,7.064571428571431,10.547435897436216,2.889142857142858,0.07202857142857146,0.1192571428571429,2.4377142857142866,270.04250194250136,28.612665112665308
2021/1/2 20:00,15.651428571428575,7.107142857142859,10.423310023310336,2.5097142857142867,0.07411428571428574,0.11140000000000003,2.4308571428571435,273.41942501942424,28.552059052058908
2021/1/3 0:00,14.15714285714286,7.11914285714286,11.61237762237797,2.3402857142857147,0.08188571428571431,0.10060000000000004,2.337428571428572,269.0633255633298,28.952758352758316
2021/1/3 4:00,12.111428571428574,7.068285714285717,12.069067599067962,2.3200000000000007,0.0898857142857143,0.09134285714285717,2.267142857142858,259.53620823621213,29.13317793317789
